p;k;vertices;edges;avg_insert;avg_extract;avg_decrease;avg_insert_r;avg_extract_r;avg_decrease_r;avg_time(microseconds)
0.2;61;512;52547.00;512.00;512.00;1640.80;0.033594;0.836556;0.012661;1111.07;
0.2;62;512;52547.00;512.00;512.00;1650.90;0.033919;0.832357;0.012519;1114.27;
0.2;63;512;52547.00;512.00;512.00;1648.00;0.034342;0.831641;0.012546;1115.97;
0.2;64;512;52547.00;512.00;512.00;1646.67;0.035189;0.828906;0.012063;1117.30;
0.2;2;1024;209602.00;1024.00;1024.00;3992.13;0.120501;0.809674;0.084061;3053.33;
0.2;3;1024;209602.00;1024.00;1024.00;3992.53;0.106809;0.820666;0.067373;2950.67;
0.2;4;1024;209602.00;1024.00;1024.00;3995.33;0.101635;0.846697;0.064163;2920.83;
0.2;5;1024;209602.00;1024.00;1024.00;3985.07;0.093844;0.813663;0.051455;2908.43;
0.2;6;1024;209602.00;1024.00;1024.00;3972.63;0.087560;0.842494;0.051421;2902.77;
0.2;7;1024;209602.00;1024.00;1024.00;3982.57;0.081179;0.816835;0.044640;2895.03;
0.2;8;1024;209602.00;1024.00;1024.00;3997.03;0.078757;0.806999;0.039869;2897.07;
0.2;9;1024;209602.00;1024.00;1024.00;3973.90;0.076595;0.812497;0.036520;2899.13;
0.2;10;1024;209602.00;1024.00;1024.00;3990.77;0.076617;0.862538;0.040937;2912.83;
0.2;11;1024;209602.00;1024.00;1024.00;3978.17;0.071332;0.851617;0.037152;2904.93;
0.2;12;1024;209602.00;1024.00;1024.00;3990.13;0.068094;0.841645;0.034418;2909.87;
0.2;13;1024;209602.00;1024.00;1024.00;3980.70;0.065630;0.835021;0.032066;2918.07;
0.2;14;1024;209602.00;1024.00;1024.00;3987.93;0.063949;0.823660;0.030028;2930.87;
0.2;15;1024;209602.00;1024.00;1024.00;3972.67;0.061702;0.817090;0.028461;2930.77;
0.2;16;1024;209602.00;1024.00;1024.00;3981.33;0.058919;0.809418;0.026499;2937.50;
0.2;17;1024;209602.00;1024.00;1024.00;3983.03;0.056619;0.803581;0.025773;2950.60;
0.2;18;1024;209602.00;1024.00;1024.00;3988.87;0.057340;0.794054;0.024410;2949.70;
0.2;19;1024;209602.00;1024.00;1024.00;3991.50;0.056033;0.793842;0.022892;2955.73;
0.2;20;1024;209602.00;1024.00;1024.00;3973.13;0.054514;0.790262;0.022108;2958.70;
0.2;21;1024;209602.00;1024.00;1024.00;3976.43;0.053277;0.787066;0.020540;2970.07;
0.2;22;1024;209602.00;1024.00;1024.00;3992.63;0.052062;0.784955;0.020321;2973.10;
0.2;23;1024;209602.00;1024.00;1024.00;4001.97;0.050477;0.788699;0.019339;2980.53;
